estimated_duration_hours,difficulty_score,priority_score,task_type_score,subject_has_events,hours_until_next_subject_event,day_load_score,free_hours_today,days_until_deadline,recommended_deadline_hours,data_source
1.5,5,1,1,1,36,31,6,7,34,synthetic
0.5,1,1,4,1,36,51,6,4,34,synthetic
4,4,3,2,1,36,41,6,10,34,synthetic
5,2,2,4,0,0,16,3,7,82,synthetic
3,5,4,3,0,0,13,6,10,81,synthetic
5,5,4,3,0,0,20,1,3,48,synthetic
2,1,3,5,0,0,3,3,7,58,synthetic
2,5,2,4,1,6,15,4,4,4,synthetic
5,1,3,3,1,12,32,7,4,10,synthetic
0.5,2,3,2,0,0,85,7,2,24,synthetic
0.5,4,3,2,1,24,29,1,7,30,synthetic
2,5,1,2,1,48,47,7,2,24,synthetic
6,4,2,2,1,72,14,3,3,48,synthetic
2,3,3,1,0,0,92,3,14,74,synthetic
5,3,3,3,0,0,37,6,2,24,synthetic
0.5,1,2,4,1,12,47,4,3,10,synthetic
6,1,1,1,0,0,65,3,7,82,synthetic
6,4,4,4,0,0,100,1,5,108,synthetic
3,5,2,4,1,72,34,5,7,70,synthetic
2,1,3,3,1,48,57,1,7,60,synthetic
0.5,4,2,3,1,72,70,3,3,48,synthetic
1.5,1,2,3,1,12,11,2,5,18,synthetic
0.5,4,3,4,0,0,77,2,4,48,synthetic
4,2,4,5,1,12,33,2,4,18,synthetic
5,5,1,1,1,72,45,7,4,48,synthetic
0.5,2,3,1,0,0,21,2,2,24,synthetic
3,3,4,2,1,48,9,2,5,54,synthetic
1.5,2,2,4,1,24,68,2,10,36,synthetic
6,4,2,1,0,0,54,6,14,93,synthetic
5,1,4,1,1,24,70,4,10,28,synthetic
1.5,1,1,5,1,18,64,5,4,22,synthetic
5,3,1,3,1,24,64,1,14,36,synthetic
0.5,1,3,2,0,0,6,7,2,24,synthetic
1,5,1,3,0,0,52,7,1,24,synthetic
3,4,2,4,0,0,12,4,14,90,synthetic
1.5,2,2,4,1,18,83,6,14,28,synthetic
0.5,5,4,1,1,24,36,2,3,30,synthetic
2,4,3,1,0,0,65,5,7,76,synthetic
2,2,1,1,1,24,17,5,4,22,synthetic
1,4,3,3,0,0,73,3,7,78,synthetic
1,3,4,2,0,0,64,7,1,24,synthetic
2,3,1,1,0,0,66,6,3,48,synthetic
3,3,3,3,0,0,12,1,5,80,synthetic
6,4,1,4,0,0,26,3,5,109,synthetic
4,1,2,1,0,0,11,6,3,48,synthetic
1,5,3,4,0,0,10,3,7,83,synthetic
0.5,3,4,1,0,0,74,3,7,55.0,synthetic
0.5,3,1,2,0,0,98,1,2,24,synthetic
1.5,1,1,5,1,12,42,3,7,10,synthetic
1.5,1,3,4,1,36,68,6,5,40,synthetic
4,5,1,1,1,24,92,4,7,34,synthetic
2,3,3,1,1,24,64,1,5,36,synthetic
5,1,4,4,0,0,85,7,3,48,synthetic
0.5,1,4,4,0,0,37,6,5,42.0,synthetic
0.5,1,2,4,1,72,72,5,14,62.0,synthetic
0.5,1,2,1,0,0,83,7,2,24,synthetic
1.5,5,2,5,1,36,54,1,5,42,synthetic
6,2,3,4,0,0,31,6,3,48,synthetic
1.5,1,2,2,0,0,66,4,1,24,synthetic
4,5,4,4,1,12,84,4,10,22,synthetic
2,5,3,1,1,72,7,2,1,24,synthetic
1,5,4,2,1,36,94,4,4,46,synthetic
4,3,3,5,1,24,29,3,7,22,synthetic
1.5,3,1,2,0,0,46,3,3,48,synthetic
4,1,4,5,0,0,63,5,10,65,synthetic
3,3,2,4,0,0,33,4,1,24,synthetic
5,1,4,5,1,12,11,4,5,10,synthetic
3,3,2,2,1,72,22,5,7,70,synthetic
1.5,2,1,5,0,0,76,1,14,98.0,synthetic
1,3,2,2,0,0,79,5,3,48,synthetic
0.5,2,3,3,0,0,36,7,5,54.0,synthetic
2,3,1,5,1,24,16,2,5,30,synthetic
0.5,4,4,2,1,48,70,2,10,60,synthetic
2,4,1,3,1,72,55,6,10,70,synthetic
3,2,1,1,1,12,33,4,5,10,synthetic
3,3,4,4,1,36,29,3,10,34,synthetic
4,4,4,3,1,24,97,2,10,42,synthetic
3,3,1,4,1,48,43,1,10,54,synthetic
5,4,2,4,1,24,10,6,7,22,synthetic
1.5,5,4,2,0,0,93,4,4,48,synthetic
6,1,1,4,0,0,32,6,7,85,synthetic
5,3,4,1,0,0,47,1,4,48,synthetic
3,5,4,4,0,0,80,7,1,24,synthetic
0.5,4,2,1,1,6,44,1,3,12,synthetic
1.5,3,3,5,0,0,7,3,5,72.0,synthetic
1,5,1,4,0,0,28,7,14,97,synthetic
6,1,3,1,0,0,77,5,7,74,synthetic
4,2,4,1,1,48,95,4,2,24,synthetic
0.5,5,4,5,1,12,92,3,4,22,synthetic
3,5,2,2,1,48,98,1,14,66,synthetic
4,5,1,3,0,0,8,2,1,24,synthetic
4,2,3,3,0,0,39,7,4,48,synthetic
2,3,2,5,1,36,29,1,10,42,synthetic
1,2,4,2,0,0,92,7,14,58,synthetic
3,2,3,3,1,48,42,3,3,46,synthetic
1.5,4,2,3,0,0,51,3,1,24,synthetic
6,5,2,2,0,0,54,5,3,48,synthetic
5,1,4,4,0,0,66,2,1,24,synthetic
5,1,3,4,0,0,58,4,5,73,synthetic
6,1,2,1,1,36,98,4,14,46,synthetic
5,3,2,3,0,0,36,4,7,87,synthetic
4,3,1,3,0,0,4,5,2,24,synthetic
3,3,3,1,0,0,60,3,10,72,synthetic
6,2,2,3,0,0,5,2,1,24,synthetic
1,5,2,5,0,0,51,4,14,93,synthetic
5,4,2,3,1,36,84,3,5,46,synthetic
4,5,2,5,0,0,93,2,4,48,synthetic
1.5,1,2,2,1,48,69,6,1,24,synthetic
6,4,1,3,1,48,26,2,10,54,synthetic
0.5,5,2,5,1,6,83,6,1,16,synthetic
4,2,1,1,0,0,43,1,7,84,synthetic
2,3,2,3,0,0,70,7,7,81,synthetic
2,4,2,4,1,48,29,7,10,46,synthetic
5,3,1,4,0,0,95,3,7,109,synthetic
1.5,1,3,4,1,48,27,4,7,46,synthetic
4,5,1,2,0,0,87,1,4,48,synthetic
6,5,2,2,1,24,51,3,3,22,synthetic
6,4,1,3,1,48,62,1,7,60,synthetic
5,4,4,2,0,0,29,6,2,24,synthetic
6,4,2,4,1,72,30,7,5,70,synthetic
2,3,4,4,0,0,22,5,7,64,synthetic
4,2,1,4,0,0,22,3,2,24,synthetic
2,3,2,5,1,36,41,1,2,24,synthetic
1.5,2,4,5,0,0,25,7,7,57.0,synthetic
6,3,3,1,0,0,81,1,14,98,synthetic
0.5,4,2,4,1,36,79,5,5,46,synthetic
3,4,3,2,0,0,18,3,14,77,synthetic
3,3,1,2,1,18,43,6,14,16,synthetic
0.5,5,2,2,0,0,33,2,5,90.0,synthetic
6,5,4,1,0,0,26,5,2,24,synthetic
1,1,3,4,0,0,88,2,3,48,synthetic
1,4,2,5,0,0,31,5,2,24,synthetic
0.5,5,2,1,1,24,7,1,5,30,synthetic
0.5,4,3,3,0,0,9,3,1,24,synthetic
0.5,5,1,5,1,72,56,6,4,48,synthetic
2,2,1,3,0,0,95,1,1,24,synthetic
3,3,1,1,0,0,86,2,5,100,synthetic
2,4,2,3,1,18,97,5,5,28,synthetic
2,3,1,3,1,12,23,6,10,10,synthetic
0.5,4,2,3,0,0,42,3,7,77.0,synthetic
5,4,2,1,1,24,96,3,14,34,synthetic
5,5,3,4,0,0,42,2,5,107,synthetic
5,1,3,4,0,0,8,5,14,67,synthetic
5,2,2,5,1,12,92,1,7,30,synthetic
2,5,4,4,1,72,50,5,10,70,synthetic
1.5,2,4,3,0,0,35,4,1,24,synthetic
3,1,2,1,0,0,55,4,4,48,synthetic
6,4,1,1,0,0,6,6,10,100,synthetic
1,4,2,4,0,0,34,4,3,48,synthetic
5,4,1,5,1,18,57,4,3,22,synthetic
0.5,3,4,1,0,0,55,7,5,49.0,synthetic
2,1,4,1,0,0,43,3,10,39,synthetic
3,4,1,5,1,24,92,4,5,34,synthetic
6,3,1,4,0,0,8,3,10,101,synthetic
1,4,2,4,1,72,49,1,10,78,synthetic
1,4,2,3,0,0,13,4,2,24,synthetic
5,2,4,3,1,36,65,6,2,24,synthetic
2,5,2,4,1,72,5,1,7,78,synthetic
1,4,3,4,1,24,85,6,2,24,synthetic
5,3,3,1,0,0,96,1,1,24,synthetic
2,4,2,1,1,48,63,5,14,52,synthetic
5,4,3,3,0,0,42,2,3,48,synthetic
4,1,4,4,1,36,16,6,10,34,synthetic
2,4,3,1,1,18,14,7,4,16,synthetic
1.5,2,2,4,0,0,64,3,10,74.0,synthetic
5,1,3,2,1,24,0,4,7,22,synthetic
1,5,4,2,0,0,95,7,14,82,synthetic
4,1,3,4,1,72,19,5,5,63,synthetic
3,5,3,5,0,0,14,2,2,24,synthetic
1.5,4,2,2,1,18,53,5,7,16,synthetic
6,1,3,5,0,0,52,7,1,24,synthetic
6,1,2,1,1,36,33,7,3,34,synthetic
2,1,3,1,0,0,11,3,10,46,synthetic
1.5,5,4,2,1,24,96,4,3,34,synthetic
5,1,4,3,1,72,64,1,5,71,synthetic
5,1,3,2,1,18,2,1,5,24,synthetic
6,4,1,2,0,0,50,6,7,103,synthetic
5,3,3,1,1,18,80,5,2,24,synthetic
1.5,2,2,4,1,72,60,6,4,48,synthetic
1,4,3,5,1,72,90,6,7,82,synthetic
5,1,2,2,1,72,38,4,2,24,synthetic
1.5,2,3,4,1,6,81,2,3,24,synthetic
5,2,4,5,0,0,97,1,5,91,synthetic
5,4,2,5,1,24,21,3,7,22,synthetic
1.5,4,3,5,1,48,6,3,10,46,synthetic
3,4,2,4,0,0,45,1,3,48,synthetic
6,1,2,2,0,0,92,3,2,24,synthetic
1.5,3,3,3,0,0,20,7,10,66.0,synthetic
1,2,2,4,0,0,41,7,5,66,synthetic
2,2,3,3,0,0,72,3,2,24,synthetic
2,2,2,2,1,72,86,3,4,48,synthetic
1,1,3,5,1,12,8,5,3,10,synthetic
2,3,1,2,0,0,31,4,3,48,synthetic
1,2,3,4,0,0,39,4,4,48,synthetic
6,2,2,3,0,0,78,2,5,103,synthetic
6,4,4,2,0,0,83,6,3,48,synthetic
1.5,5,2,3,1,18,97,5,4,28,synthetic
5,1,1,4,1,36,77,7,14,46,synthetic
4,5,4,4,1,18,81,4,10,28,synthetic
3,4,1,2,1,24,16,7,5,22,synthetic
5,3,3,4,0,0,56,3,3,48,synthetic
6,1,1,3,1,12,38,5,10,10,synthetic
5,3,3,3,0,0,34,5,14,80,synthetic
3,3,2,1,0,0,31,1,1,24,synthetic
2,2,2,3,0,0,87,6,10,79,synthetic
2,1,3,1,0,0,91,5,2,24,synthetic
6,3,1,4,0,0,28,1,3,48,synthetic
1.5,3,1,1,1,6,15,5,7,4,synthetic
6,2,2,1,0,0,65,6,7,83,synthetic
5,4,4,1,0,0,5,7,1,24,synthetic
3,5,3,4,0,0,55,4,3,48,synthetic
1,4,2,2,0,0,83,5,5,88,synthetic
5,3,3,5,0,0,99,2,5,106,synthetic
2,2,3,4,1,12,31,7,5,10,synthetic
5,5,4,2,1,18,72,5,10,22,synthetic
3,4,1,3,0,0,57,4,10,100,synthetic
0.5,4,1,1,0,0,92,5,10,90.0,synthetic
2,4,1,3,0,0,28,4,4,48,synthetic
5,3,3,5,1,18,90,3,1,24,synthetic
6,2,3,2,1,24,69,5,3,28,synthetic
0.5,2,4,4,1,6,69,5,10,10,synthetic
3,4,3,2,0,0,21,4,3,48,synthetic
6,4,1,2,1,36,13,4,3,34,synthetic
2,2,3,5,1,18,7,7,1,16,synthetic
5,5,4,5,0,0,52,6,14,95,synthetic
1.5,5,2,1,0,0,13,2,5,91.0,synthetic
2,3,1,3,0,0,44,5,14,82,synthetic
1.5,2,3,1,0,0,71,1,7,66.0,synthetic
3,3,3,3,0,0,77,3,10,84,synthetic
3,2,2,2,0,0,66,6,1,24,synthetic
2,1,4,5,1,6,15,7,2,4,synthetic
0.5,2,3,3,0,0,96,5,1,24,synthetic
1,4,3,4,0,0,74,4,4,48,synthetic
0.5,5,1,3,1,6,77,7,5,16,synthetic
6,5,3,4,0,0,95,6,2,24,synthetic
6,1,3,4,1,36,8,2,2,24,synthetic
3,3,4,1,1,12,29,7,10,10,synthetic
2,4,1,2,0,0,23,5,14,87,synthetic
0.5,4,4,4,1,72,0,2,14,74.0,synthetic
1.5,2,2,3,0,0,95,5,2,24,synthetic
0.5,2,3,1,0,0,49,4,1,24,synthetic
3,2,4,1,1,48,17,5,3,46,synthetic
1,3,4,1,1,18,97,2,10,36,synthetic
4,1,3,5,1,72,64,7,14,72,synthetic
1,4,1,5,0,0,18,4,5,92,synthetic
6,3,4,4,0,0,12,4,1,24,synthetic
0.5,5,1,3,0,0,98,6,4,48,synthetic
1,4,3,1,0,0,72,2,2,24,synthetic
2,1,4,4,1,72,60,5,3,48,synthetic
5,4,3,3,1,18,34,4,5,16,synthetic
4,3,4,4,1,6,15,2,5,12,synthetic
3,2,3,2,1,24,77,7,1,24,synthetic
4,2,4,5,0,0,60,2,3,48,synthetic
3,4,3,1,1,36,17,4,4,34,synthetic
2,5,1,5,1,6,22,4,7,4,synthetic
4,2,2,5,0,0,81,1,14,101,synthetic
1,1,2,5,1,72,87,3,5,73,synthetic
5,5,4,4,0,0,71,5,5,98,synthetic
6,4,1,5,1,36,71,6,10,40,synthetic
6,3,4,2,0,0,22,1,5,82,synthetic
1,1,3,4,1,6,80,5,7,16,synthetic
2,2,4,3,1,12,51,1,5,18,synthetic
3,1,2,5,1,12,51,7,5,10,synthetic
3,2,3,3,1,24,69,7,7,28,synthetic
3,3,1,1,0,0,5,7,7,80,synthetic
1.5,2,2,5,1,36,73,6,2,24,synthetic
4,2,2,4,1,12,92,7,5,22,synthetic
1,4,4,1,0,0,27,4,7,59,synthetic
5,4,1,4,1,6,87,7,14,16,synthetic
5,4,1,1,0,0,94,5,5,108,synthetic
1,2,4,5,1,48,98,5,14,58,synthetic
1.5,3,4,2,0,0,37,7,1,24,synthetic
1,4,2,4,0,0,96,6,7,94,synthetic
4,4,3,4,1,24,94,3,7,34,synthetic
1,5,3,4,1,12,37,5,3,10,synthetic
2,1,2,1,0,0,45,5,10,53,synthetic
5,3,4,3,1,48,39,3,7,46,synthetic
2,5,1,1,0,0,83,1,2,24,synthetic
2,1,1,2,0,0,3,1,1,24,synthetic
5,2,4,4,0,0,35,6,7,68,synthetic
1.5,3,1,4,0,0,60,6,4,48,synthetic
6,4,4,4,0,0,48,3,7,88,synthetic
1,2,3,3,0,0,14,2,4,48,synthetic
1.5,5,1,1,1,36,1,7,10,34,synthetic
4,1,2,2,0,0,75,3,1,24,synthetic
5,3,2,4,0,0,59,4,14,96,synthetic
2,2,2,5,1,12,44,5,4,10,synthetic
5,5,3,4,0,0,61,2,4,48,synthetic
1.5,4,4,5,0,0,48,3,2,24,synthetic
1.5,5,4,5,0,0,97,7,5,93.0,synthetic
1.5,3,4,5,0,0,84,4,7,77.0,synthetic
6,2,1,1,0,0,78,1,3,48,synthetic
3,2,2,2,0,0,23,7,10,68,synthetic
3,2,1,1,1,48,79,3,4,48,synthetic
0.5,1,2,5,0,0,10,3,2,24,synthetic
5,4,1,2,0,0,30,5,10,99,synthetic
3,4,1,3,1,12,63,3,7,16,synthetic
0.5,1,1,5,0,0,50,5,7,66.0,synthetic
1.5,4,3,2,0,0,58,1,5,85.0,synthetic
6,1,1,1,0,0,84,4,4,48,synthetic
0.5,4,2,2,0,0,91,4,7,86.0,synthetic
2,1,3,2,1,72,58,7,3,48,synthetic
4,4,3,5,1,12,10,7,7,10,synthetic
2,1,2,1,0,0,20,5,4,48,synthetic
2,4,1,4,0,0,96,4,7,105,synthetic
4,1,4,3,0,0,13,4,14,53,synthetic
4,2,2,3,0,0,38,4,4,48,synthetic
2,3,2,2,0,0,42,2,14,80,synthetic
1,5,4,3,0,0,88,4,3,48,synthetic
6,3,1,1,0,0,49,4,3,48,synthetic
5,2,2,1,1,18,39,6,2,16,synthetic
4,5,4,5,0,0,58,2,2,24,synthetic
5,4,3,1,0,0,29,1,10,90,synthetic
5,3,1,4,1,36,56,1,7,48,synthetic
1.5,2,4,5,1,48,27,1,10,54,synthetic
0.5,2,2,3,1,36,12,6,4,34,synthetic
1,3,2,1,0,0,89,4,10,77,synthetic
6,2,3,4,1,12,42,5,3,10,synthetic
6,1,1,5,1,24,87,6,3,34,synthetic
2,5,4,5,1,6,72,1,2,18,synthetic
0.5,5,3,4,0,0,89,2,10,101.0,synthetic
5,5,2,5,0,0,30,5,5,109,synthetic
6,2,1,1,0,0,55,5,5,84,synthetic
1.5,2,2,2,1,12,14,7,1,10,synthetic
1,3,3,5,1,12,74,6,10,16,synthetic
5,1,1,2,1,18,79,7,2,24,synthetic
5,5,3,2,0,0,41,1,1,24,synthetic
1.5,4,4,5,0,0,25,4,4,48,synthetic
2,1,4,4,0,0,97,7,1,24,synthetic
6,3,3,4,1,12,84,3,1,22,synthetic
1,2,2,1,1,6,71,5,3,10,synthetic
1,4,2,1,0,0,43,4,14,73,synthetic
1.5,4,4,1,0,0,14,5,14,61.0,synthetic
3,2,3,2,1,12,83,1,4,30,synthetic
1.5,2,1,1,1,12,3,1,10,18,synthetic
0.5,1,3,4,1,72,64,1,5,63.0,synthetic
1,4,4,3,1,36,29,6,1,24,synthetic
5,5,3,3,1,72,18,2,5,78,synthetic
5,3,1,5,1,12,61,7,1,16,synthetic
2,4,4,1,1,6,95,6,7,16,synthetic
1,3,3,2,1,72,2,4,7,61,synthetic
0.5,5,4,1,1,48,53,4,14,46,synthetic
6,4,1,2,1,18,71,6,10,22,synthetic
0.5,4,4,2,0,0,83,7,5,72.0,synthetic
5,3,1,2,0,0,90,5,2,24,synthetic
2,2,1,5,1,12,47,1,10,18,synthetic
4,3,4,5,0,0,32,5,5,75,synthetic
4,5,2,3,1,36,14,2,4,42,synthetic
3,1,1,5,0,0,74,7,5,82,synthetic
6,4,2,2,0,0,61,3,1,24,synthetic
3,5,4,5,0,0,67,6,4,48,synthetic
5,1,3,2,0,0,46,2,4,48,synthetic
3,2,2,1,0,0,47,4,2,24,synthetic
4,3,2,4,0,0,48,1,4,48,synthetic
2,1,4,4,0,0,17,3,2,24,synthetic
5,1,3,5,0,0,89,7,1,24,synthetic
6,4,4,2,0,0,12,4,10,82,synthetic
1.5,4,3,2,0,0,76,7,5,83.0,synthetic
3,3,1,2,0,0,76,6,7,95,synthetic
5,5,3,5,0,0,10,2,14,110,synthetic
3,1,3,5,1,72,76,5,4,48,synthetic
0.5,5,3,4,0,0,47,1,10,89.0,synthetic
5,3,1,5,0,0,54,4,1,24,synthetic
5,3,4,2,0,0,54,4,1,24,synthetic
3,3,1,2,1,6,47,4,1,4,synthetic
1,3,3,4,0,0,71,7,2,24,synthetic
1,4,4,4,1,18,35,4,3,16,synthetic
3,2,3,4,1,18,63,2,4,30,synthetic
1.5,2,3,5,0,0,21,3,2,24,synthetic
5,5,3,5,0,0,90,3,2,24,synthetic
3,4,4,5,0,0,32,4,2,24,synthetic
6,5,3,2,0,0,8,3,7,97,synthetic
2,2,2,4,0,0,32,7,3,48,synthetic
5,4,1,3,0,0,75,5,4,48,synthetic
3,1,2,1,0,0,94,5,1,24,synthetic
6,3,3,3,0,0,2,5,2,24,synthetic
0.5,3,1,3,0,0,25,5,4,48,synthetic
6,5,1,3,0,0,49,1,7,122,synthetic
5,3,3,4,1,12,45,3,10,10,synthetic
6,5,3,5,0,0,78,6,4,48,synthetic
5,5,3,5,0,0,18,1,7,110,synthetic
6,5,1,2,0,0,23,2,4,48,synthetic
4,2,3,1,1,18,16,5,14,16,synthetic
3,5,4,3,1,24,97,5,1,24,synthetic
2,3,2,1,0,0,48,4,14,69,synthetic
4,3,1,4,1,48,29,5,4,46,synthetic
5,5,4,1,0,0,23,7,1,24,synthetic
1,1,4,5,1,48,98,2,2,24,synthetic
1.5,2,3,3,1,12,34,4,4,10,synthetic
6,2,1,4,0,0,9,1,3,48,synthetic
1.5,1,3,2,1,18,94,5,7,28,synthetic
0.5,3,3,5,0,0,18,5,1,24,synthetic
6,1,1,1,1,18,43,7,10,16,synthetic
1,2,3,4,0,0,24,3,14,59,synthetic
0.5,3,4,2,0,0,57,2,1,24,synthetic
4,1,4,3,1,36,11,3,5,34,synthetic
3,4,2,5,0,0,1,3,5,93,synthetic
3,1,2,5,1,48,28,1,2,24,synthetic
3,5,2,3,1,24,90,2,4,42,synthetic
1,4,1,5,1,48,34,2,2,24,synthetic
0.5,1,3,2,1,6,83,7,14,16,synthetic
5,5,2,2,1,48,76,3,14,58,synthetic
2,2,3,5,0,0,41,3,1,24,synthetic
4,3,4,5,0,0,54,2,14,83,synthetic
3,4,3,1,0,0,93,6,10,86,synthetic
6,1,1,2,0,0,15,5,4,48,synthetic
0.5,4,2,5,1,18,10,7,4,16,synthetic
4,1,4,1,0,0,9,3,2,24,synthetic
6,2,2,3,0,0,65,2,7,97,synthetic
2,5,1,3,0,0,48,6,14,98,synthetic
1,5,3,5,0,0,52,4,14,86,synthetic
0.5,4,2,5,1,72,80,2,2,24,synthetic
0.5,5,4,4,0,0,66,5,3,48,synthetic
1.5,3,1,2,0,0,73,6,4,48,synthetic
0.5,5,3,1,1,24,81,3,5,34,synthetic
3,2,1,1,1,24,39,2,5,30,synthetic
5,3,2,4,1,72,77,5,2,24,synthetic
1,4,1,2,1,24,84,5,4,34,synthetic
1.5,2,4,4,1,36,91,2,1,24,synthetic
1,1,2,4,1,36,62,2,3,48,synthetic
5,2,3,3,1,6,98,2,5,24,synthetic
3,3,4,2,0,0,35,6,1,24,synthetic
1,2,3,4,1,48,13,6,14,46,synthetic
6,5,1,2,1,6,4,6,5,4,synthetic
1.5,5,3,5,0,0,96,1,5,108.0,synthetic
4,2,2,4,1,6,92,4,10,16,synthetic
3,2,4,3,1,12,45,1,5,18,synthetic
0.5,3,3,1,1,36,57,3,2,24,synthetic
1.5,4,4,1,1,6,8,6,1,4,synthetic
2,1,2,4,0,0,51,2,1,24,synthetic
1.5,1,2,4,0,0,12,5,2,24,synthetic
2,5,3,3,1,24,86,3,2,24,synthetic
2,3,4,1,0,0,17,6,2,24,synthetic
3,3,3,1,1,6,3,2,14,12,synthetic
1,2,4,2,1,6,90,5,3,16,synthetic
5,4,4,2,1,6,64,1,2,18,synthetic
1,5,2,2,0,0,96,1,14,104,synthetic
1,4,2,5,1,48,23,2,3,48,synthetic
2,1,3,2,0,0,0,7,3,48,synthetic
0.5,1,4,4,0,0,60,5,5,48.0,synthetic
4,5,1,5,1,24,3,6,4,22,synthetic
2,4,1,2,1,18,25,7,4,16,synthetic
2,3,3,2,1,48,44,3,5,46,synthetic
4,5,4,5,1,72,93,1,3,48,synthetic
5,4,2,2,0,0,26,4,7,92,synthetic
0.5,4,2,3,1,18,18,5,5,16,synthetic
4,5,1,2,1,6,0,3,3,4,synthetic
4,4,4,1,1,72,91,6,1,24,synthetic
1.5,2,3,1,1,36,49,3,10,34,synthetic
6,5,2,1,0,0,27,5,3,48,synthetic
5,3,3,3,1,48,37,2,3,48,synthetic
1.5,1,1,4,1,24,58,3,14,28,synthetic
1.5,2,2,3,0,0,51,2,7,73.0,synthetic
1.5,4,4,1,0,0,55,1,5,69.0,synthetic
0.5,3,1,1,0,0,72,2,3,48,synthetic
4,3,4,4,1,36,59,1,7,48,synthetic
6,2,2,2,0,0,85,2,14,100,synthetic
3,1,1,2,0,0,35,1,4,48,synthetic
2,1,1,1,0,0,42,4,14,60,synthetic
1,4,1,5,0,0,74,5,4,48,synthetic
1,3,4,2,1,24,100,1,7,42,synthetic
6,5,3,2,0,0,97,6,1,24,synthetic
2,2,1,1,1,18,56,4,14,22,synthetic
5,4,1,3,0,0,2,2,2,24,synthetic
1.5,1,4,3,0,0,75,3,4,48,synthetic
5,2,4,3,1,24,97,3,5,34,synthetic
1,3,3,2,1,48,98,5,1,24,synthetic
4,5,4,2,1,6,40,5,1,4,synthetic
1,1,1,2,1,24,25,3,2,22,synthetic
3,5,1,2,1,24,37,1,14,30,synthetic
6,1,3,5,1,24,97,3,3,34,synthetic
1,3,2,2,1,6,63,6,7,10,synthetic
5,2,4,3,0,0,62,2,2,24,synthetic
1,4,3,3,1,18,69,5,14,22,synthetic
2,3,2,4,0,0,55,6,2,24,synthetic
5,2,1,1,0,0,85,7,5,92,synthetic
3,2,1,3,1,24,34,3,5,22,synthetic
0.5,2,1,1,0,0,75,1,3,48,synthetic
2,3,4,3,1,24,83,7,1,24,synthetic
4,3,3,3,0,0,97,6,1,24,synthetic
0.5,5,1,1,1,72,0,5,5,70,synthetic
0.5,5,3,5,0,0,56,1,2,24,synthetic
1.5,4,2,1,1,6,72,6,4,10,synthetic
2,5,2,2,1,72,2,4,2,24,synthetic
1,4,2,1,1,24,59,1,1,24,synthetic
1,4,3,4,0,0,98,2,1,24,synthetic
1,2,1,2,0,0,42,2,5,75,synthetic
1.5,3,1,1,0,0,65,6,10,80.0,synthetic
5,2,4,1,0,0,45,3,2,24,synthetic
1,3,4,3,1,24,67,1,14,36,synthetic
6,5,3,5,1,6,64,5,1,10,synthetic
3,4,3,2,1,36,39,3,5,34,synthetic
4,3,2,2,1,48,19,3,2,24,synthetic
0.5,2,3,1,1,24,30,3,1,22,synthetic
5,3,3,1,1,72,60,3,14,76,synthetic
0.5,1,3,2,0,0,45,4,4,43.0,synthetic
0.5,5,4,3,1,72,17,5,1,24,synthetic
1,1,4,3,1,6,41,6,1,4,synthetic
5,5,1,3,1,48,88,4,1,24,synthetic
1.5,1,3,4,0,0,23,3,2,24,synthetic
0.5,2,1,1,1,72,98,1,5,82.0,synthetic
2,2,3,5,0,0,98,5,7,78,synthetic
1.5,4,3,5,0,0,98,5,3,48,synthetic
2,2,1,1,0,0,15,7,1,24,synthetic
2,1,3,3,1,12,87,1,3,30,synthetic
0.5,4,4,1,1,6,96,4,2,16,synthetic
3,4,2,2,1,48,49,4,2,24,synthetic
3,1,1,5,0,0,100,6,2,24,synthetic
1,1,4,5,0,0,55,7,1,24,synthetic
3,3,1,5,1,12,81,5,7,22,synthetic
4,1,1,3,1,36,27,3,1,24,synthetic
3,4,2,3,0,0,0,1,10,95,synthetic
2,1,4,5,1,18,27,2,3,24,synthetic
3,4,1,2,0,0,63,7,1,24,synthetic
6,3,1,4,0,0,69,4,5,107,synthetic
1.5,2,1,3,1,24,70,3,4,28,synthetic
3,2,2,5,1,48,59,1,7,60,synthetic
4,3,2,5,0,0,91,5,1,24,synthetic
1,2,4,3,0,0,60,5,10,55,synthetic
5,1,3,1,0,0,28,1,5,66,synthetic
0.5,2,3,3,1,6,26,6,3,4,synthetic
1.5,5,2,3,1,36,100,7,5,46,synthetic
1,1,2,1,1,48,82,4,4,48,synthetic
1.5,1,4,2,0,0,100,7,4,48,synthetic
1,3,3,5,0,0,7,6,14,70,synthetic
4,1,2,5,0,0,49,1,14,81,synthetic
2,5,1,2,0,0,86,1,1,24,synthetic
6,2,2,5,1,48,77,3,7,58,synthetic
6,4,3,5,0,0,58,7,5,104,synthetic
1,4,4,4,0,0,87,3,14,80,synthetic
3,5,3,1,0,0,4,5,1,24,synthetic
6,1,4,3,1,48,70,5,3,48,synthetic
1.5,3,1,2,1,12,2,4,14,10,synthetic
3,4,4,1,1,36,17,2,5,42,synthetic
0.5,3,3,5,1,18,11,6,5,16,synthetic
4,1,1,1,0,0,84,1,3,48,synthetic
1,3,1,1,0,0,8,4,4,48,synthetic
2,1,1,2,0,0,46,2,4,48,synthetic
6,3,2,3,0,0,73,2,2,24,synthetic
2,5,1,1,0,0,93,5,4,48,synthetic
0.5,5,4,5,0,0,45,3,4,48,synthetic
3,1,4,3,1,36,12,1,14,42,synthetic
6,3,2,2,0,0,67,2,1,24,synthetic
